comment_id|user_id|blog_id|parent_id|content|created_at|updated_at
1|1|1|null|Top-level comment 1 on blog 1|2026-02-02T01:00:00|null
2|2|1|null|Top-level comment 2 on blog 1|2026-02-03T02:00:00|null
3|3|2|null|Top-level comment 3 on blog 2|2026-02-04T01:00:00|null
4|4|2|null|Top-level comment 4 on blog 2|2026-02-05T02:00:00|null
5|5|3|null|Top-level comment 5 on blog 3|2026-02-06T01:00:00|2026-02-06T05:00:00
6|6|3|null|Top-level comment 6 on blog 3|2026-02-07T02:00:00|null
7|7|4|null|Top-level comment 7 on blog 4|2026-02-08T01:00:00|null
8|8|4|null|Top-level comment 8 on blog 4|2026-02-09T02:00:00|null
9|9|5|null|Top-level comment 9 on blog 5|2026-02-10T01:00:00|null
10|10|5|null|Top-level comment 10 on blog 5|2026-02-11T02:00:00|2026-02-11T06:00:00
11|11|6|null|Top-level comment 11 on blog 6|2026-02-12T01:00:00|null
12|12|6|null|Top-level comment 12 on blog 6|2026-02-13T02:00:00|null
13|13|7|null|Top-level comment 13 on blog 7|2026-02-14T01:00:00|null
14|14|7|null|Top-level comment 14 on blog 7|2026-02-15T02:00:00|null
15|15|8|null|Top-level comment 15 on blog 8|2026-02-16T01:00:00|2026-02-16T05:00:00
16|1|8|null|Top-level comment 16 on blog 8|2026-02-17T02:00:00|null
17|2|9|null|Top-level comment 17 on blog 9|2026-02-18T01:00:00|null
18|3|9|null|Top-level comment 18 on blog 9|2026-02-19T02:00:00|null
19|4|10|null|Top-level comment 19 on blog 10|2026-02-20T01:00:00|null
20|5|10|null|Top-level comment 20 on blog 10|2026-02-21T02:00:00|2026-02-21T06:00:00
21|6|11|null|Top-level comment 21 on blog 11|2026-02-22T01:00:00|null
22|7|11|null|Top-level comment 22 on blog 11|2026-02-23T02:00:00|null
23|8|12|null|Top-level comment 23 on blog 12|2026-02-24T01:00:00|null
24|9|12|null|Top-level comment 24 on blog 12|2026-02-25T02:00:00|null
25|10|13|null|Top-level comment 25 on blog 13|2026-02-26T01:00:00|2026-02-26T05:00:00
26|11|13|null|Top-level comment 26 on blog 13|2026-02-27T02:00:00|null
27|12|14|null|Top-level comment 27 on blog 14|2026-02-28T01:00:00|null
28|13|14|null|Top-level comment 28 on blog 14|2026-02-01T02:00:00|null
29|14|15|null|Top-level comment 29 on blog 15|2026-02-02T01:00:00|null
30|15|15|null|Top-level comment 30 on blog 15|2026-02-03T02:00:00|2026-02-03T06:00:00
31|1|16|null|Top-level comment 31 on blog 16|2026-02-04T01:00:00|null
32|2|16|null|Top-level comment 32 on blog 16|2026-02-05T02:00:00|null
33|3|17|null|Top-level comment 33 on blog 17|2026-02-06T01:00:00|null
34|4|17|null|Top-level comment 34 on blog 17|2026-02-07T02:00:00|null
35|5|18|null|Top-level comment 35 on blog 18|2026-02-08T01:00:00|2026-02-08T05:00:00
36|6|18|null|Top-level comment 36 on blog 18|2026-02-09T02:00:00|null
37|7|19|null|Top-level comment 37 on blog 19|2026-02-10T01:00:00|null
38|8|19|null|Top-level comment 38 on blog 19|2026-02-11T02:00:00|null
39|9|20|null|Top-level comment 39 on blog 20|2026-02-12T01:00:00|null
40|10|20|null|Top-level comment 40 on blog 20|2026-02-13T02:00:00|2026-02-13T06:00:00
41|11|21|null|Top-level comment 41 on blog 21|2026-02-14T01:00:00|null
42|12|21|null|Top-level comment 42 on blog 21|2026-02-15T02:00:00|null
43|13|22|null|Top-level comment 43 on blog 22|2026-02-16T01:00:00|null
44|14|22|null|Top-level comment 44 on blog 22|2026-02-17T02:00:00|null
45|15|23|null|Top-level comment 45 on blog 23|2026-02-18T01:00:00|2026-02-18T05:00:00
46|1|23|null|Top-level comment 46 on blog 23|2026-02-19T02:00:00|null
47|2|24|null|Top-level comment 47 on blog 24|2026-02-20T01:00:00|null
48|3|24|null|Top-level comment 48 on blog 24|2026-02-21T02:00:00|null
49|4|1|2|Reply comment 49 to parent 2 on blog 1|2026-03-02T00:03:00|null
50|5|2|3|Reply comment 50 to parent 3 on blog 2|2026-03-03T00:06:00|null
51|6|3|6|Reply comment 51 to parent 6 on blog 3|2026-03-04T00:09:00|null
52|7|4|7|Reply comment 52 to parent 7 on blog 4|2026-03-05T00:12:00|2026-03-05T06:12:00
53|8|5|10|Reply comment 53 to parent 10 on blog 5|2026-03-06T00:15:00|null
54|9|6|11|Reply comment 54 to parent 11 on blog 6|2026-03-07T00:18:00|null
55|10|7|14|Reply comment 55 to parent 14 on blog 7|2026-03-08T00:21:00|null
56|11|8|15|Reply comment 56 to parent 15 on blog 8|2026-03-09T00:24:00|2026-03-09T06:24:00
57|12|9|18|Reply comment 57 to parent 18 on blog 9|2026-03-10T00:27:00|null
58|13|10|19|Reply comment 58 to parent 19 on blog 10|2026-03-11T00:30:00|null
59|14|11|22|Reply comment 59 to parent 22 on blog 11|2026-03-12T00:33:00|null
60|15|12|23|Reply comment 60 to parent 23 on blog 12|2026-03-13T00:36:00|2026-03-13T06:36:00
